sexo,empleo,nivel_sueldo,rango_edad,valor
2,2,1,30-39 | 40-49,3645060
2,2,1,30-39 | 50-59,4993707
2,2,1,30-39 | >60,6271233
2,2,1,40-49 | 40-49,1498330
2,2,1,40-49 | 50-59,2846977
2,2,1,40-49 | >60,4124503
2,2,1,50-59 | 50-59,1348647
2,2,1,50-59 | >60,2626173
2,2,1,>60 | >60,1277526
,,,,.
2,2,2,15-19 | 15-19,658276
2,2,2,15-19 | 20-29,3669923
2,2,2,15-19 | 30-39,5443237
2,2,2,15-19 | 40-49,6696255
2,2,2,15-19 | 50-59,7594029
2,2,2,15-19 | >60,8060354
2,2,2,20-29 | 20-29,3011647
2,2,2,20-29 | 30-39,4784961
2,2,2,20-29 | 40-49,6037979
2,2,2,20-29 | 50-59,6935753
2,2,2,20-29 | >60,7402078
2,2,2,30-39 | 30-39,1773314
2,2,2,30-39 | 40-49,3026332
2,2,2,30-39 | 50-59,3924106
2,2,2,30-39 | >60,4390431
2,2,2,40-49 | 40-49,1253018
2,2,2,40-49 | 50-59,2150792
2,2,2,40-49 | >60,2617117
2,2,2,50-59 | 50-59,897774
2,2,2,50-59 | >60,1364099
2,2,2,>60 | >60,466325
,,,,.
2,2,3,15-19 | 15-19,35744
2,2,3,15-19 | 20-29,582238
2,2,3,15-19 | 30-39,1031069
2,2,3,15-19 | 40-49,1248434
2,2,3,15-19 | 50-59,1489224
2,2,3,15-19 | >60,1595671
2,2,3,20-29 | 20-29,546494
2,2,3,20-29 | 30-39,995325
2,2,3,20-29 | 40-49,1212690
2,2,3,20-29 | 50-59,1453480
2,2,3,20-29 | >60,1559927
2,2,3,30-39 | 30-39,448831
2,2,3,30-39 | 40-49,666196
2,2,3,30-39 | 50-59,906986
2,2,3,30-39 | >60,1013433
2,2,3,40-49 | 40-49,217365
2,2,3,40-49 | 50-59,458155
2,2,3,40-49 | >60,564602
2,2,3,50-59 | 50-59,240790
2,2,3,50-59 | >60,347237
2,2,3,>60 | >60,106447
,,,,.
2,2,4,15-19 | 15-19,5751
2,2,4,15-19 | 20-29,180728
2,2,4,15-19 | 30-39,371833
2,2,4,15-19 | 40-49,506552
2,2,4,15-19 | 50-59,603991
2,2,4,15-19 | >60,645817
2,2,4,20-29 | 20-29,174977
2,2,4,20-29 | 30-39,366082
2,2,4,20-29 | 40-49,500801
2,2,4,20-29 | 50-59,598240
2,2,4,20-29 | >60,640066
2,2,4,30-39 | 30-39,191105
2,2,4,30-39 | 40-49,325824
2,2,4,30-39 | 50-59,423263
2,2,4,30-39 | >60,465089
2,2,4,40-49 | 40-49,134719
2,2,4,40-49 | 50-59,232158
2,2,4,40-49 | >60,273984
2,2,4,50-59 | 50-59,97439
2,2,4,50-59 | >60,139265
2,2,4,>60 | >60,41826
,,,,.
2,2,5,15-19 | 15-19,2291
2,2,5,15-19 | 20-29,61353
2,2,5,15-19 | 30-39,119845
2,2,5,15-19 | 40-49,150799
2,2,5,15-19 | 50-59,183248
2,2,5,15-19 | >60,201105
2,2,5,20-29 | 20-29,59062
2,2,5,20-29 | 30-39,117554
2,2,5,20-29 | 40-49,148508
2,2,5,20-29 | 50-59,180957
2,2,5,20-29 | >60,198814
2,2,5,30-39 | 30-39,58492
2,2,5,30-39 | 40-49,89446
2,2,5,30-39 | 50-59,121895
2,2,5,30-39 | >60,139752
2,2,5,40-49 | 40-49,30954
2,2,5,40-49 | 50-59,63403
2,2,5,40-49 | >60,81260
2,2,5,50-59 | 50-59,32449
2,2,5,50-59 | >60,50306
2,2,5,>60 | >60,17857
